TargetImage,ChangeInConfidence,PercentChangeInConfidence,Success
testing/yaleB01/image0.jpg,-0.6203848,-0.83459413,1
testing/yaleB02/image0.jpg,-0.71580833,-0.84391737,0
testing/yaleB03/image0.jpg,-0.62618494,-0.73156583,0
testing/yaleB04/image0.jpg,-0.49271864,-0.9506647,1
testing/yaleB05/image0.jpg,-0.35623986,-0.36704573,0
testing/yaleB06/image0.jpg,-0.46833006,-0.88760006,1
testing/yaleB07/image0.jpg,-0.65424776,-0.78771377,0
testing/yaleB08/image0.jpg,-0.222083,-0.3861471,0
testing/yaleB09/image0.jpg,-0.5161792,-0.6218955,0
testing/yaleB10/image0.jpg,-0.35928237,-0.86307657,1
testing/yaleB11/image0.jpg,-0.41196927,-0.66523,0
testing/yaleB12/image0.jpg,-0.48889738,-0.5804065,0
testing/yaleB13/image0.jpg,-0.6617746,-0.9080004,1
testing/yaleB15/image0.jpg,-0.23063828,-0.49965346,0
testing/yaleB16/image0.jpg,-0.39101255,-0.6324252,0
testing/yaleB17/image0.jpg,-0.5690606,-0.97471035,1
testing/yaleB18/image0.jpg,-0.27221563,-0.5075559,0
testing/yaleB19/image0.jpg,-0.2192033,-0.41286635,0
testing/yaleB20/image0.jpg,-0.77286327,-0.9711722,1
testing/yaleB21/image0.jpg,-0.7487761,-0.98911357,1
testing/yaleB22/image0.jpg,0.0,0.0,0
testing/yaleB23/image0.jpg,-0.31545758,-0.8296528,1
testing/yaleB24/image0.jpg,-0.5216693,-0.7247318,1
testing/yaleB25/image0.jpg,-0.3361235,-0.7351589,1
testing/yaleB26/image0.jpg,-0.3590899,-0.9180517,1
testing/yaleB27/image0.jpg,-0.29888368,-0.3135159,0
testing/yaleB28/image0.jpg,0.0,0.0,0
testing/yaleB29/image0.jpg,-0.7419844,-0.9400668,1
testing/yaleB30/image0.jpg,-0.46993756,-0.48659465,0
testing/yaleB31/image0.jpg,-0.4131021,-0.6023757,0
testing/yaleB32/image0.jpg,-0.12151253,-0.27245063,0
testing/yaleB33/image0.jpg,-0.27426085,-0.70819366,1
testing/yaleB34/image0.jpg,-0.21367514,-0.22922385,0
testing/yaleB35/image0.jpg,-0.27814907,-0.44524896,0
testing/yaleB36/image0.jpg,-0.27281052,-0.5441698,0
testing/yaleB37/image0.jpg,-0.82517874,-0.94173205,1
testing/yaleB38/image0.jpg,-0.43584532,-0.5234886,0
testing/yaleB39/image0.jpg,-0.42820305,-0.6827087,0
